timestamp,symbol,strategy,entry_price,portfolio_balance,max_single_position_allowed,max_total_exposure_allowed,current_total_exposure,calculated_quantity,calculated_notional,buffered_max_notional,block_reason
2025-12-05T11:59:40.534Z,XLTCZEUR,mean_reversion,70.73065999999999,32000,4800,8000,0,0,87360.00000000178,4656,MAX_POSITION
2025-12-05T11:59:40.558Z,NANOUSD,mean_reversion,0.8168880719999999,32000,4800,8000,0,0,87360.00000000096,4656,MAX_POSITION
2025-12-05T11:59:41.538Z,XLTCZUSD,mean_reversion,82.32223999999998,32000,4800,8000,0,0,87360.0000000013,4656,MAX_POSITION
2025-12-05T11:59:41.574Z,NOSUSD,mean_reversion,0.266266,32000,4800,8000,0,0,87360.00000000048,4656,MAX_POSITION
2025-12-05T11:59:42.049Z,ADA/USDT,vwap_pullback,0.43152709599999994,32000,4800,8000,0,10789.588980989505,4656,4656,PASS
2025-12-05T11:59:42.256Z,ADAAUD,mean_reversion,0.6494087599999999,32000,4800,8000,0,0,87360.00000000057,4656,MAX_POSITION
2025-12-05T11:59:43.174Z,MASKEUR,mean_reversion,0.5805799999999999,32000,4800,8000,0,0,87360.00000000077,4656,MAX_POSITION
2025-12-05T11:59:43.188Z,OPEUR,mean_reversion,0.2720718,32000,4800,8000,0,0,87360.00000000038,4656,MAX_POSITION
2025-12-05T11:59:43.278Z,AKTEUR,mean_reversion,0.38988949999999994,32000,4800,8000,0,0,87360.00000000175,4656,MAX_POSITION
2025-12-05T11:59:44.148Z,OPUSD,mean_reversion,0.31701669999999993,32000,4800,8000,0,0,87360.0000000019,4656,MAX_POSITION
2025-12-05T11:59:44.566Z,ATOMEUR,mean_reversion,1.9445426,32000,4800,8000,0,0,87360.00000000106,4656,MAX_POSITION
2025-12-05T11:59:44.827Z,DOT/EUR,vwap_pullback,1.9239219999999997,32000,4800,8000,0,2420.0565303583,4656,4656,PASS
2025-12-05T11:59:45.222Z,MEUSD,mean_reversion,0.3362358999999999,32000,4800,8000,0,0,87360.00000000127,4656,MAX_POSITION
2025-12-05T11:59:45.395Z,PROVEEUR,mean_reversion,0.39519479999999996,32000,4800,8000,0,0,87360.0000000004,4656,MAX_POSITION
2025-12-05T11:59:46.002Z,AUDUSD,vwap_pullback,0.6629923299999999,32000,4800,8000,0,0,48657.89708197464,4656,MAX_POSITION
2025-12-05T11:59:46.418Z,TIA/USD,vwap_pullback,0.6153147,32000,4800,8000,0,7566.859689846513,4656,4656,PASS
2025-12-05T11:59:46.675Z,RUNEEUR,mean_reversion,0.5685679999999999,32000,4800,8000,0,0,87360.00000000109,4656,MAX_POSITION
2025-12-05T11:59:46.797Z,MNTUSD,mean_reversion,1.0649639,32000,4800,8000,0,0,87360.00000000029,4656,MAX_POSITION
2025-12-05T11:59:47.055Z,CAKEUSD,mean_reversion,2.3123099999999996,32000,4800,8000,0,0,87360.00000000175,4656,MAX_POSITION
2025-12-05T11:59:48.476Z,RUNEUSD,mean_reversion,0.658658,32000,4800,8000,0,0,87360.0000000004,4656,MAX_POSITION
2025-12-05T11:59:48.582Z,NANOEUR,mean_reversion,0.707725018,32000,4800,8000,0,0,87360.00000000016,4656,MAX_POSITION
2025-12-05T11:59:48.711Z,CVXUSD,mean_reversion,1.8248229999999999,32000,4800,8000,0,0,87360.00000000054,4656,MAX_POSITION
2025-12-05T11:59:49.528Z,SOSOUSD,mean_reversion,0.6080074,32000,4800,8000,0,0,87360.00000000067,4656,MAX_POSITION
2025-12-05T11:59:50.244Z,DOTEUR,mean_reversion,1.9239219999999997,32000,4800,8000,0,0,87360.00000000093,4656,MAX_POSITION
2025-12-05T11:59:50.530Z,ONDO/USD,vwap_pullback,0.48042994999999994,32000,4800,8000,0,9691.319202726641,4656,4656,PASS
2025-12-05T11:59:50.936Z,TONEUR,mean_reversion,1.365364,32000,4800,8000,0,0,87359.9999999999,4656,MAX_POSITION
2025-12-05T11:59:51.724Z,DOTGBP,mean_reversion,1.6714697999999997,32000,4800,8000,0,0,87360.00000000083,4656,MAX_POSITION
2025-12-05T11:59:52.251Z,NANOUSD,mean_reversion,0.8168880719999999,32000,4800,8000,0,0,87360.00000000096,4656,MAX_POSITION
2025-12-05T11:59:52.638Z,TONUSD,mean_reversion,1.5885869999999997,32000,4800,8000,0,0,87360.00000000081,4656,MAX_POSITION
2025-12-05T11:59:53.355Z,DOTUSDC,mean_reversion,2.2362339999999996,32000,4800,8000,0,0,87360.00000000202,4656,MAX_POSITION
2025-12-05T11:59:53.507Z,NOSUSD,mean_reversion,0.266266,32000,4800,8000,0,0,87360.00000000048,4656,MAX_POSITION
2025-12-05T11:59:54.221Z,TRUMPUSD,mean_reversion,5.881876,32000,4800,8000,0,0,87359.99999999981,4656,MAX_POSITION
2025-12-05T11:59:54.691Z,DOTUSDT,mean_reversion,2.238236,32000,4800,8000,0,0,87360.00000000057,4656,MAX_POSITION
2025-12-05T11:59:55.222Z,OPEUR,mean_reversion,0.2720718,32000,4800,8000,0,0,87360.00000000038,4656,MAX_POSITION
2025-12-05T11:59:55.703Z,XETCZUSD,mean_reversion,13.488474999999998,32000,4800,8000,0,0,87360.000000001,4656,MAX_POSITION
2025-12-05T11:59:55.891Z,ENA/USD,vwap_pullback,0.27847819999999995,32000,4800,8000,0,16719.441593632826,4656,4656,PASS
2025-12-05T11:59:56.474Z,OPUSD,mean_reversion,0.31701669999999993,32000,4800,8000,0,0,87360.0000000019,4656,MAX_POSITION
2025-12-05T11:59:57.010Z,ETHFIEUR,mean_reversion,0.6906899999999999,32000,4800,8000,0,0,87360.00000000016,4656,MAX_POSITION
2025-12-05T11:59:57.218Z,USDCHF,vwap_pullback,0.8045737699999999,32000,4800,8000,0,0,173008.789237668,4656,MAX_POSITION
2025-12-05T11:59:58.127Z,PROVEEUR,mean_reversion,0.39519479999999996,32000,4800,8000,0,0,87360.0000000004,4656,MAX_POSITION
2025-12-05T11:59:58.190Z,EULEUR,mean_reversion,3.3213179999999998,32000,4800,8000,0,0,87360.00000000019,4656,MAX_POSITION
2025-12-05T11:59:58.400Z,BAT/USD,vwap_pullback,0.25339313999999996,32000,4800,8000,0,18374.60950994964,4656,4656,PASS
2025-12-05T11:59:58.821Z,XXRPZCAD,mean_reversion,2.8898669799999994,32000,4800,8000,0,0,87360.0000000017,4656,MAX_POSITION
2025-12-05T11:59:59.386Z,RUNEEUR,mean_reversion,0.5685679999999999,32000,4800,8000,0,0,87360.00000000109,4656,MAX_POSITION
2025-12-05T12:00:00.084Z,XXRPZEUR,mean_reversion,1.7791874099999998,32000,4800,8000,0,0,87360.00000000051,4656,MAX_POSITION
2025-12-05T12:00:00.732Z,RUNEUSD,mean_reversion,0.658658,32000,4800,8000,0,0,87360.0000000004,4656,MAX_POSITION
2025-12-05T12:00:01.389Z,EWTUSD,mean_reversion,0.6886879999999999,32000,4800,8000,0,0,87360.00000000105,4656,MAX_POSITION
2025-12-05T12:00:01.447Z,XRPGBP,mean_reversion,1.5531616099999999,32000,4800,8000,0,0,87360.00000000077,4656,MAX_POSITION
2025-12-05T12:00:02.395Z,SOSOUSD,mean_reversion,0.6080074,32000,4800,8000,0,0,87360.00000000067,4656,MAX_POSITION
2025-12-05T12:00:02.749Z,FORTHUSD,mean_reversion,1.7357339999999999,32000,4800,8000,0,0,87360.00000000086,4656,MAX_POSITION
2025-12-05T12:00:03.049Z,XRPRLUSD,mean_reversion,2.0702081399999996,32000,4800,8000,0,0,87360.00000000186,4656,MAX_POSITION
2025-12-05T12:00:03.784Z,TONEUR,mean_reversion,1.365364,32000,4800,8000,0,0,87359.9999999999,4656,MAX_POSITION
2025-12-05T12:00:04.442Z,FXSUSD,mean_reversion,0.805805,32000,4800,8000,0,0,87360.00000000052,4656,MAX_POSITION
2025-12-05T12:00:04.461Z,XRPUSDT,mean_reversion,2.07014808,32000,4800,8000,0,0,87360.00000000012,4656,MAX_POSITION
2025-12-05T12:00:04.979Z,TONUSD,mean_reversion,1.5885869999999997,32000,4800,8000,0,0,87360.00000000081,4656,MAX_POSITION
