timestamp,elapsedMinutes,phase,feedLatencyMs,cacheWindow,vtsTradeCount,paperTradeCount,openPositions,avgCWQI,avgNGC,avgDI,avgGSI,adaptiveRelevanceVariance,cacheHitRate,riskPerTrade,maxExposure,dynamicSlots,tradingActive
2025-12-29T12:31:48.827Z,9.3,A_VTS,5352,200,180,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:32:03.855Z,9.5,A_VTS,5343,200,180,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:32:18.907Z,9.8,A_VTS,5126,200,180,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:32:33.850Z,10,A_VTS,8904,200,200,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:32:48.930Z,10.3,A_VTS,5203,200,200,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:33:03.849Z,10.5,A_VTS,5392,200,200,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:33:18.797Z,10.8,A_VTS,5232,200,200,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:33:33.791Z,11,A_VTS,9068,200,220,0,42,0.66,0.737,0.714,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:33:48.795Z,11.3,A_VTS,5270,200,220,0,42,0.66,0.737,0.714,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:34:03.852Z,11.5,A_VTS,5314,200,239,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:34:18.799Z,11.8,A_VTS,5212,200,240,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:34:33.860Z,12,A_VTS,4985,200,240,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
2025-12-29T12:34:48.857Z,12.3,A_VTS,18381,200,240,0,42,0.66,0.738,0.715,0.5,0.0014,0.85,3.5,100,8,false
