timestamp,elapsedMinutes,feedLatencyMs,vtsTradeCount,paperTradeCount,avgCWQI,avgNGC,avgDI,avgGSI,adaptiveRelevanceVariance,cacheHitRate
2025-12-29T10:09:16.225Z,0.3,4185,0,0,0,0,0,0,0,0.85
2025-12-29T10:09:31.225Z,0.5,4628,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:09:46.226Z,0.8,4207,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:10:01.227Z,1,4855,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:10:16.227Z,1.3,7923,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:10:31.227Z,1.5,4758,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:10:46.228Z,1.8,4094,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:11:01.228Z,2,4868,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:11:16.227Z,2.3,4181,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:11:31.228Z,2.5,19182,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:11:46.227Z,2.8,4041,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:12:01.227Z,3,4852,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:12:16.227Z,3.3,4033,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:12:31.227Z,3.5,4844,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:12:46.228Z,3.8,7828,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:13:01.228Z,4,4769,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:13:16.227Z,4.3,4059,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:13:31.228Z,4.5,4636,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:13:46.227Z,4.8,4025,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:14:01.228Z,5,19026,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:14:16.228Z,5.3,11518,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:14:31.228Z,5.5,4783,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:14:46.229Z,5.8,4030,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:15:01.228Z,6,4897,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:15:16.228Z,6.3,7761,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:15:31.229Z,6.5,4718,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:15:46.229Z,6.8,3950,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:16:01.229Z,7,4929,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:16:16.229Z,7.3,7760,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:16:31.228Z,7.5,4804,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:16:46.229Z,7.8,4008,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:17:01.228Z,8,4599,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:17:16.228Z,8.3,4012,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:17:31.229Z,8.5,19013,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:17:46.229Z,8.8,3937,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:18:01.230Z,9,4839,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:18:16.231Z,9.3,4012,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:18:31.230Z,9.5,4756,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:18:46.231Z,9.8,7673,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:19:01.231Z,10,4753,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:19:16.230Z,10.3,4026,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:19:31.230Z,10.5,4898,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:19:46.231Z,10.8,3983,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:20:01.231Z,11,15471,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:20:16.230Z,11.3,3910,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:20:31.243Z,11.5,4730,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:20:46.243Z,11.8,3887,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:21:01.243Z,12,4810,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:21:16.243Z,12.3,7605,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:21:31.243Z,12.5,4811,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:21:46.245Z,12.8,3915,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:22:01.245Z,13,4713,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:22:16.246Z,13.3,7611,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:22:31.246Z,13.5,4883,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:22:46.246Z,13.8,3915,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:23:01.246Z,14,4757,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:23:16.245Z,14.3,3855,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:23:31.245Z,14.5,18855,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:23:46.246Z,14.8,3961,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:24:01.246Z,15,4706,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:24:16.245Z,15.3,3847,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:24:31.245Z,15.5,4769,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:24:46.246Z,15.8,7575,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:25:01.246Z,16,4850,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:25:16.246Z,16.3,3935,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:25:31.246Z,16.5,4922,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:25:46.245Z,16.8,3806,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:26:01.246Z,17,18807,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:26:16.246Z,17.3,11250,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:26:31.249Z,17.5,4836,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:26:46.250Z,17.8,3720,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:27:01.250Z,18,4630,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:27:16.254Z,18.3,3647,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:27:31.254Z,18.5,4814,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:27:46.255Z,18.8,3634,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:28:01.254Z,19,4632,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:28:16.256Z,19.3,7392,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:28:31.256Z,19.5,4792,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:28:46.257Z,19.8,3645,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:29:01.257Z,20,4818,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:29:16.258Z,20.3,3546,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:29:31.258Z,20.5,18546,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:29:46.258Z,20.8,3658,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:30:01.259Z,21,4803,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:30:16.258Z,21.3,3511,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:30:31.259Z,21.5,4773,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:30:46.258Z,21.8,7324,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:31:01.258Z,22,4896,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:31:16.260Z,22.3,3575,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:31:31.259Z,22.5,4972,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:31:46.260Z,22.8,3527,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:32:01.261Z,23,8136,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:32:16.262Z,23.3,7287,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:32:31.262Z,23.5,4637,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:32:46.263Z,23.8,3421,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:33:01.262Z,24,4957,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:33:16.262Z,24.3,3496,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:33:31.263Z,24.5,18497,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:33:46.262Z,24.8,3493,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:34:01.262Z,25,4906,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:34:16.263Z,25.3,3480,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:34:31.262Z,25.5,4768,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:34:46.263Z,25.8,7250,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:35:01.263Z,26,4768,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:35:16.263Z,26.3,3415,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:35:31.264Z,26.5,4803,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:35:46.264Z,26.8,3491,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:36:01.264Z,27,18491,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:36:16.264Z,27.3,10985,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:36:31.264Z,27.5,4821,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:36:46.265Z,27.8,3507,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:37:01.264Z,28,4661,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:37:16.266Z,28.3,7182,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:37:31.266Z,28.5,4793,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:37:46.266Z,28.8,3488,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:38:01.266Z,29,4737,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:38:16.267Z,29.3,3384,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:38:31.267Z,29.5,18384,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:38:46.267Z,29.8,3485,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:39:01.268Z,30,4894,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:39:16.268Z,30.3,3446,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:39:31.268Z,30.5,4804,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:39:46.268Z,30.8,7210,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:40:01.268Z,31,4804,20,0,0.666,0.745,0.723,0.5,0.001,0.85
2025-12-29T10:40:16.268Z,31.3,3351,20,0,0.666,0.745,0.723,0.5,0.001,0.85
