id,captured_at,symbol,exchange,asset_class,mode,source,regime_label,regime_confidence,dbs_score,dbs_category,atr_pct,confidence_modulated,features,modulators,scan_stage_decision
37707,2026-05-05T11:25:17.993Z,DYDX/EUR,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.646753,0.438534,UP_MODERATE,0.74925075,,"{""adx"":2.5641025641025226,""sma"":0.12857999999999997,""vwap"":0.10486116721526881,""phase"":""EARLY"",""low24h"":0.1224,""high24h"":0.1313,""ohlcLen"":721,""momentum"":0.0353982300884957,""volume24h"":191872.03448011,""volatility"":0.013431781891546448,""currentPrice"":0.1287,""schema_version"":1,""phaseAgeSeconds"":0}","{""dbs_slope"":0.006749130650649415,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37706,2026-05-05T11:25:17.992Z,DUAL/USD,kraken,crypto_spot,vts,mce-cycle,IMPULSE_EXPANSION,0.847352,0.519553,UP_MODERATE,4.33430638,,"{""adx"":53.63276089828257,""sma"":0.00766545,""vwap"":0.007265921153778877,""phase"":""EARLY"",""low24h"":0.007132,""high24h"":0.008095,""ohlcLen"":721,""momentum"":0.08871079176454334,""volume24h"":6308698.21311,""volatility"":0.029630185279213038,""currentPrice"":0.007879,""schema_version"":1,""phaseAgeSeconds"":4080}","{""dbs_slope"":0.020471020206136892,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37705,2026-05-05T11:25:17.990Z,DOT/USDC,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.631490,0.426030,UP_MODERATE,0.40198885,,"{""adx"":57.5892857142856,""sma"":1.241325,""vwap"":1.2411983187721756,""phase"":""PRIME"",""low24h"":1.2186,""high24h"":1.2632,""ohlcLen"":721,""momentum"":0.011710547569051816,""volume24h"":22222.09601283,""volatility"":0.007212670464734758,""currentPrice"":1.2527,""schema_version"":1,""phaseAgeSeconds"":15678}","{""dbs_slope"":-0.006122788176900373,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37704,2026-05-05T11:25:17.989Z,ENA/EUR,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.671671,0.422124,UP_MODERATE,1.20746432,,"{""adx"":55.14018691588802,""sma"":0.088255,""vwap"":0.08955936872021933,""phase"":""LATE"",""low24h"":0.0855,""high24h"":0.0938,""ohlcLen"":721,""momentum"":0.020156774916013392,""volume24h"":1109223.77188,""volatility"":0.010522519873907595,""currentPrice"":0.0911,""schema_version"":1,""phaseAgeSeconds"":112978}","{""dbs_slope"":0.12072316844767961,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37703,2026-05-05T11:25:17.987Z,CFG/EUR,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.709583,0.650091,UP_STRONG,1.38027966,,"{""adx"":61.99095022624422,""sma"":0.189305,""vwap"":0.19069744980247577,""phase"":""PRIME"",""low24h"":0.1826,""high24h"":0.1993,""ohlcLen"":721,""momentum"":0.0570666666666666,""volume24h"":73447.02278745,""volatility"":0.013169436815679161,""currentPrice"":0.1982,""schema_version"":1,""phaseAgeSeconds"":12138}","{""dbs_slope"":0.0642920247786074,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37702,2026-05-05T11:25:17.986Z,ENA/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.588992,0.379705,UP_MODERATE,1.43393192,,"{""adx"":73.68421052631597,""sma"":0.10314999999999999,""vwap"":0.10389555756142199,""phase"":""LATE"",""low24h"":0.0998,""high24h"":0.1099,""ohlcLen"":721,""momentum"":0.00944287063267234,""volume24h"":8168086.83965,""volatility"":0.010127050385629176,""currentPrice"":0.1066,""schema_version"":1,""phaseAgeSeconds"":91315}","{""dbs_slope"":0.14034080674455118,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37701,2026-05-05T11:25:17.984Z,SUI/GBP,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.682511,0.437940,UP_MODERATE,0.37503294,,"{""adx"":45.39249146757728,""sma"":0.694685,""vwap"":0.6978524300169991,""phase"":""LATE"",""low24h"":0.6813,""high24h"":0.7047,""ohlcLen"":721,""momentum"":0.016003460207612456,""volume24h"":68981.37841,""volatility"":0.006271570551628995,""currentPrice"":0.7047,""schema_version"":1,""phaseAgeSeconds"":105658}","{""dbs_slope"":0.027432815956109247,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37700,2026-05-05T11:25:17.982Z,AVAX/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.593942,0.356225,UP_MODERATE,0.60286935,,"{""adx"":86.20689655172457,""sma"":9.2685,""vwap"":9.307490989323151,""phase"":""PRIME"",""low24h"":9.06,""high24h"":9.42,""ohlcLen"":721,""momentum"":0.008620689655172422,""volume24h"":201719.28205144,""volatility"":0.006291678842914754,""currentPrice"":9.36,""schema_version"":1,""phaseAgeSeconds"":10279}","{""dbs_slope"":0.04393567523533942,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37699,2026-05-05T11:25:17.969Z,TIA/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.697423,0.461894,UP_MODERATE,1.55171091,,"{""adx"":57.711442786069625,""sma"":0.3630049999999999,""vwap"":0.3652849292013453,""phase"":""PRIME"",""low24h"":0.344,""high24h"":0.3799,""ohlcLen"":721,""momentum"":0.05079006772009034,""volume24h"":1409482.97433,""volatility"":0.009445969604702759,""currentPrice"":0.3724,""schema_version"":1,""phaseAgeSeconds"":34639}","{""dbs_slope"":0.08346249945975864,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37698,2026-05-05T11:25:17.967Z,BLEND/USD,kraken,crypto_spot,vts,mce-cycle,IMPULSE_EXPANSION,1.000000,0.505911,UP_MODERATE,3.59115417,,"{""adx"":70.90671885192428,""sma"":0.11923049999999999,""vwap"":0.13715066691864128,""phase"":""EARLY"",""low24h"":0.11196,""high24h"":0.13584,""ohlcLen"":263,""momentum"":0.13817836156239188,""volume24h"":1088716.25774,""volatility"":0.08772958019006301,""currentPrice"":0.13036,""schema_version"":1,""phaseAgeSeconds"":4379}","{""dbs_slope"":0.34652234982594166,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37697,2026-05-05T11:25:17.965Z,BLEND/EUR,kraken,crypto_spot,vts,mce-cycle,IMPULSE_EXPANSION,1.000000,0.528519,UP_MODERATE,3.27079465,,"{""adx"":73.04619659604033,""sma"":0.10194700000000001,""vwap"":0.11665279722001132,""phase"":""EARLY"",""low24h"":0.09576,""high24h"":0.11633,""ohlcLen"":263,""momentum"":0.14155251141552516,""volume24h"":309658.36148,""volatility"":0.088033557087925,""currentPrice"":0.11155,""schema_version"":1,""phaseAgeSeconds"":5237}","{""dbs_slope"":0.3020111563390214,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37696,2026-05-05T11:25:17.964Z,PENDLE/USD,kraken,crypto_spot,vts,mce-cycle,STRUCTURAL_TRANSITION,0.637195,0.693837,UP_STRONG,1.80094426,,"{""adx"":36.170212765957515,""sma"":1.8624500000000002,""vwap"":1.3912242569831714,""phase"":""EARLY"",""low24h"":1.695,""high24h"":1.931,""ohlcLen"":721,""momentum"":0.11933174224343673,""volume24h"":400204.86344,""volatility"":0.01137046734551337,""currentPrice"":1.876,""schema_version"":1,""phaseAgeSeconds"":419}","{""dbs_slope"":-0.00006667348490174696,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37695,2026-05-05T11:25:17.961Z,PROVE/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.732378,0.448966,UP_MODERATE,0.34961060,,"{""adx"":29.670329670329288,""sma"":0.24852499999999994,""vwap"":0.2439141997596948,""phase"":""PRIME"",""low24h"":0.2421,""high24h"":0.252,""ohlcLen"":721,""momentum"":0.024877650897226843,""volume24h"":128885.7935,""volatility"":0.005754131251929042,""currentPrice"":0.2513,""schema_version"":1,""phaseAgeSeconds"":22939}","{""dbs_slope"":0.013007417402202626,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37694,2026-05-05T11:25:17.958Z,FUN/USD,kraken,crypto_spot,vts,mce-cycle,IMPULSE_EXPANSION,0.756965,0.669530,UP_STRONG,3.44725111,,"{""adx"":44.26035502958588,""sma"":0.06145199999999999,""vwap"":0.04428144333825047,""phase"":""PRIME"",""low24h"":0.05501,""high24h"":0.0777,""ohlcLen"":721,""momentum"":0.13562510689242346,""volume24h"":4304725.40493,""volatility"":0.015907594466706244,""currentPrice"":0.0673,""schema_version"":1,""phaseAgeSeconds"":30078}","{""dbs_slope"":-0.003179758023901691,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37693,2026-05-05T11:25:17.956Z,DOT/EUR,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.649104,0.434904,UP_MODERATE,0.54525627,,"{""adx"":30.50847457627212,""sma"":1.062065,""vwap"":1.0608201686296284,""phase"":""LATE"",""low24h"":1.0359,""high24h"":1.0823,""ohlcLen"":721,""momentum"":0.01301395699735952,""volume24h"":149360.14298618,""volatility"":0.006727383910456992,""currentPrice"":1.0742,""schema_version"":1,""phaseAgeSeconds"":224438}","{""dbs_slope"":0.015174464858393688,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
