symbol,snap_date,prev_day_close,open_24h,daily_gap_pct,category
BAC/USD,2026-04-30,52.9000,52.6100,0.5512,regular_quarterly
BAC/USD,2026-05-01,52.9000,52.6100,0.5512,regular_quarterly
BAC/USD,2026-05-02,53.4700,53.7100,-0.4468,reverse_gap_up
BAC/USD,2026-05-03,53.4700,53.7100,-0.4468,reverse_gap_up
BAC/USD,2026-05-04,53.2250,53.0450,0.3393,regular_quarterly
BAC/USD,2026-05-05,53.2250,53.0450,0.3393,regular_quarterly
BAC/USD,2026-05-06,52.2500,52.5700,-0.6087,reverse_gap_up
BAC/USD,2026-05-07,53.1300,53.9400,-1.5017,special_gap_up
BAC/USD,2026-05-08,53.5700,53.5500,0.0373,below_threshold
BAC/USD,2026-05-09,52.7350,52.9600,-0.4248,reverse_gap_up
BAC/USD,2026-05-10,52.7350,52.9600,-0.4248,reverse_gap_up
BAC/USD,2026-05-11,52.7350,52.9600,-0.4248,reverse_gap_up
BAC/USD,2026-05-12,51.2800,51.2200,0.1171,below_threshold
BAC/USD,2026-05-13,50.5300,50.7500,-0.4335,reverse_gap_up
BAC/USD,2026-05-14,50.8100,50.3600,0.8936,regular_quarterly
BAC/USD,2026-05-15,49.8400,50.1250,-0.5686,reverse_gap_up
BAC/USD,2026-05-16,49.8500,49.8800,-0.0601,below_threshold
BAC/USD,2026-05-17,49.8500,49.8800,-0.0601,below_threshold
CVX/USD,2026-04-30,192.2600,190.2500,1.0565,regular_quarterly
CVX/USD,2026-05-01,192.2600,190.2500,1.0565,regular_quarterly
CVX/USD,2026-05-02,193.4800,191.2900,1.1449,regular_quarterly
CVX/USD,2026-05-03,193.4800,191.2900,1.1449,regular_quarterly
CVX/USD,2026-05-04,190.6600,190.8500,-0.0996,below_threshold
CVX/USD,2026-05-05,190.6600,190.8500,-0.0996,below_threshold
CVX/USD,2026-05-06,192.3300,191.1500,0.6173,regular_quarterly
CVX/USD,2026-05-07,192.6600,185.5850,3.8123,special_or_spinoff
CVX/USD,2026-05-08,185.1400,181.6000,1.9493,special_or_spinoff
CVX/USD,2026-05-09,182.4800,181.8400,0.3520,regular_quarterly
CVX/USD,2026-05-10,182.4800,181.8400,0.3520,regular_quarterly
CVX/USD,2026-05-11,182.4800,181.8400,0.3520,regular_quarterly
CVX/USD,2026-05-12,181.4800,183.0000,-0.8306,reverse_gap_up
CVX/USD,2026-05-13,184.6950,186.5000,-0.9678,reverse_gap_up
CVX/USD,2026-05-14,185.9800,185.8200,0.0861,below_threshold
CVX/USD,2026-05-15,185.9800,186.2250,-0.1316,below_threshold
CVX/USD,2026-05-16,186.6200,188.6000,-1.0498,reverse_gap_up
CVX/USD,2026-05-17,186.6200,188.6000,-1.0498,reverse_gap_up
HD/USD,2026-04-30,322.8600,326.0000,-0.9632,reverse_gap_up
HD/USD,2026-05-01,322.8600,326.0000,-0.9632,reverse_gap_up
HD/USD,2026-05-02,328.8850,330.1000,-0.3681,reverse_gap_up
HD/USD,2026-05-03,328.8850,330.1000,-0.3681,reverse_gap_up
HD/USD,2026-05-04,328.8850,330.1000,-0.3681,reverse_gap_up
HD/USD,2026-05-05,323.9400,321.2700,0.8311,regular_quarterly
HD/USD,2026-05-06,312.5000,313.4100,-0.2904,below_threshold
HD/USD,2026-05-07,315.4200,322.0000,-2.0435,special_gap_up
HD/USD,2026-05-08,323.0300,325.0100,-0.6092,reverse_gap_up
HD/USD,2026-05-09,322.5850,323.5000,-0.2828,below_threshold
HD/USD,2026-05-10,322.5850,323.5000,-0.2828,below_threshold
HD/USD,2026-05-11,322.5850,323.5000,-0.2828,below_threshold
HD/USD,2026-05-12,317.3800,316.5000,0.2780,below_threshold
HD/USD,2026-05-13,311.4000,313.1400,-0.5557,reverse_gap_up
HD/USD,2026-05-14,310.5000,307.6100,0.9395,regular_quarterly
HD/USD,2026-05-15,302.5900,305.0600,-0.8097,reverse_gap_up
HD/USD,2026-05-16,304.3950,301.0300,1.1178,regular_quarterly
HD/USD,2026-05-17,304.3950,301.0300,1.1178,regular_quarterly
IBM/USD,2026-04-30,227.0500,226.4200,0.2782,below_threshold
IBM/USD,2026-05-01,227.0500,226.4200,0.2782,below_threshold
IBM/USD,2026-05-02,231.0050,234.5500,-1.5114,special_gap_up
IBM/USD,2026-05-03,231.0050,234.5500,-1.5114,special_gap_up
IBM/USD,2026-05-04,232.3200,231.9000,0.1811,below_threshold
IBM/USD,2026-05-05,232.3200,231.9000,0.1811,below_threshold
IBM/USD,2026-05-06,229.5100,230.1600,-0.2824,below_threshold
IBM/USD,2026-05-07,229.0400,228.7500,0.1268,below_threshold
IBM/USD,2026-05-08,225.8300,227.4100,-0.6948,reverse_gap_up
IBM/USD,2026-05-09,231.2900,229.0000,1.0000,regular_quarterly
IBM/USD,2026-05-10,231.2900,229.0000,1.0000,regular_quarterly
IBM/USD,2026-05-11,231.2900,229.0000,1.0000,regular_quarterly
IBM/USD,2026-05-12,229.6250,228.6600,0.4220,regular_quarterly
IBM/USD,2026-05-13,223.2600,224.3700,-0.4947,reverse_gap_up
IBM/USD,2026-05-14,219.2650,218.0100,0.5757,regular_quarterly
IBM/USD,2026-05-15,214.7000,215.6600,-0.4451,reverse_gap_up
IBM/USD,2026-05-16,218.4250,218.2000,0.1031,below_threshold
IBM/USD,2026-05-17,218.4250,218.2000,0.1031,below_threshold
JNJ/USD,2026-04-30,227.3100,227.9500,-0.2808,below_threshold
JNJ/USD,2026-05-01,227.3100,227.9500,-0.2808,below_threshold
JNJ/USD,2026-05-02,229.9350,229.0500,0.3864,regular_quarterly
JNJ/USD,2026-05-03,229.9350,229.0500,0.3864,regular_quarterly
JNJ/USD,2026-05-04,229.9350,229.0500,0.3864,regular_quarterly
JNJ/USD,2026-05-05,227.1700,225.5100,0.7361,regular_quarterly
JNJ/USD,2026-05-06,224.1400,225.3800,-0.5502,reverse_gap_up
JNJ/USD,2026-05-07,225.5800,225.2500,0.1465,below_threshold
JNJ/USD,2026-05-08,224.4800,224.3900,0.0401,below_threshold
JNJ/USD,2026-05-09,222.4600,222.9400,-0.2153,below_threshold
JNJ/USD,2026-05-10,222.4600,222.9400,-0.2153,below_threshold
JNJ/USD,2026-05-11,222.4600,222.9400,-0.2153,below_threshold
JNJ/USD,2026-05-12,221.2700,221.3200,-0.0226,below_threshold
JNJ/USD,2026-05-13,221.4000,223.0000,-0.7175,reverse_gap_up
JNJ/USD,2026-05-14,224.3400,225.8200,-0.6554,reverse_gap_up
JNJ/USD,2026-05-15,230.4550,231.0000,-0.2359,below_threshold
JNJ/USD,2026-05-16,230.8000,230.7700,0.0130,below_threshold
JNJ/USD,2026-05-17,230.8000,230.7700,0.0130,below_threshold
JPM/USD,2026-04-30,309.2500,306.7500,0.8150,regular_quarterly
JPM/USD,2026-05-01,309.2500,306.7500,0.8150,regular_quarterly
JPM/USD,2026-05-02,313.2950,313.5900,-0.0941,below_threshold
JPM/USD,2026-05-03,313.2950,313.5900,-0.0941,below_threshold
JPM/USD,2026-05-04,313.2950,313.5900,-0.0941,below_threshold
JPM/USD,2026-05-05,312.4800,310.6500,0.5891,regular_quarterly
JPM/USD,2026-05-06,307.7100,307.7100,0.0000,below_threshold
JPM/USD,2026-05-07,309.4700,311.7500,-0.7314,reverse_gap_up
JPM/USD,2026-05-08,314.8650,315.0000,-0.0429,below_threshold
JPM/USD,2026-05-09,306.3200,308.2500,-0.6261,reverse_gap_up
JPM/USD,2026-05-10,306.3200,308.2500,-0.6261,reverse_gap_up
JPM/USD,2026-05-11,306.3200,308.2500,-0.6261,reverse_gap_up
JPM/USD,2026-05-12,302.1000,302.1000,0.0000,below_threshold
JPM/USD,2026-05-13,299.8100,300.3300,-0.1731,below_threshold
JPM/USD,2026-05-14,304.8900,302.2600,0.8701,regular_quarterly
JPM/USD,2026-05-15,300.3200,302.2500,-0.6385,reverse_gap_up
JPM/USD,2026-05-16,300.0200,300.0500,-0.0100,below_threshold
JPM/USD,2026-05-17,300.0200,300.0500,-0.0100,below_threshold
KO/USD,2026-04-30,78.9000,78.7950,0.1333,below_threshold
KO/USD,2026-05-01,78.9000,78.7950,0.1333,below_threshold
KO/USD,2026-05-02,78.7700,79.3850,-0.7747,reverse_gap_up
KO/USD,2026-05-03,78.7700,79.3700,-0.7560,reverse_gap_up
KO/USD,2026-05-04,78.7700,79.3850,-0.7747,reverse_gap_up
KO/USD,2026-05-05,78.5750,78.0300,0.6984,regular_quarterly
KO/USD,2026-05-06,78.1800,78.1900,-0.0128,below_threshold
KO/USD,2026-05-07,78.5100,78.7800,-0.3427,reverse_gap_up
KO/USD,2026-05-08,79.1900,78.7900,0.5077,regular_quarterly
KO/USD,2026-05-09,78.4500,78.7000,-0.3177,reverse_gap_up
KO/USD,2026-05-10,78.4500,78.7000,-0.3177,reverse_gap_up
KO/USD,2026-05-11,78.4500,78.7000,-0.3177,reverse_gap_up
KO/USD,2026-05-12,78.4200,78.3400,0.1021,below_threshold
KO/USD,2026-05-13,78.6900,79.0900,-0.5058,reverse_gap_up
KO/USD,2026-05-14,80.1000,79.8650,0.2942,below_threshold
KO/USD,2026-05-15,80.2700,80.7300,-0.5698,reverse_gap_up
KO/USD,2026-05-16,80.4800,81.2000,-0.8867,reverse_gap_up
KO/USD,2026-05-17,80.4800,81.2000,-0.8867,reverse_gap_up
MCD/USD,2026-04-30,290.0650,290.5500,-0.1669,below_threshold
MCD/USD,2026-05-01,290.0650,290.5500,-0.1669,below_threshold
MCD/USD,2026-05-02,293.6500,294.7000,-0.3563,reverse_gap_up
MCD/USD,2026-05-03,293.6500,294.7000,-0.3563,reverse_gap_up
MCD/USD,2026-05-04,286.6850,285.9400,0.2605,below_threshold
MCD/USD,2026-05-05,286.6850,285.9400,0.2605,below_threshold
MCD/USD,2026-05-06,284.1550,284.4000,-0.0861,below_threshold
MCD/USD,2026-05-07,285.1700,287.1700,-0.6965,reverse_gap_up
MCD/USD,2026-05-08,283.9700,287.8300,-1.3411,reverse_gap_up
MCD/USD,2026-05-09,283.6500,284.9900,-0.4702,reverse_gap_up
MCD/USD,2026-05-10,283.6500,284.9900,-0.4702,reverse_gap_up
