ID,Symbol,Strategy,SignalType,PatternType,Regime,Pool,EntryPrice,ExitPrice,TakeProfit,StopLoss,ResultType,PositionSize,GrossProfit%,FrictionCost%,NetProfit%,FeesDollar,EntryTimestamp,ExitTimestamp,DurationMin,FinalScore,HybridScore,ExpectedEdge,RegimeWeight,Status
vt_1768881355002_2bzd3xsvp,SOL/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,ideal,134.155000,133.081760,136.167325,133.081760,stop_loss,N/A,-0.8000,133.6184,-1.7960,1.3362,2026-01-20 03:55:55,2026-01-20 05:13:52,78.0,0.6429,0.7481,0.003369,0.6712,closed
vt_1768881355388_9quwcqyda,SOL/EUR,support_bounce,PATTERN,PINBAR,LOW_VOL_CHOP,ideal,115.170000,114.248640,116.897550,114.248640,stop_loss,N/A,-0.8000,114.7093,-1.7960,1.1471,2026-01-20 03:55:55,2026-01-20 05:13:52,78.0,0.5340,0.6282,0.001723,0.5216,closed
vt_realp_1768886033028_cuvqmnxfs,ETH/USDC,adaptive_flow,HYBRID,TRI_STAR,LOW_VOL_CHOP,rotational,3186.750000,3161.256000,3234.551250,3161.256000,stop_loss,N/A,-0.8000,0.6398,-1.4398,1.5994,2026-01-20 03:55:07,2026-01-20 05:13:53,78.8,0.4612,0.5420,0.008602,0.5240,closed
vt_realp_1768886093029_bqxzv8d7u,SOL/USDT,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,ideal,133.530000,132.461760,135.532950,132.461760,stop_loss,N/A,-0.8000,0.6275,-1.4275,1.5687,2026-01-20 04:50:54,2026-01-20 05:14:53,24.0,0.5088,0.5748,0.008725,0.4802,closed
vt_realp_1768889693061_lp9qcji5o,APT/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,1.387400,1.371470,1.413950,1.371470,stop_loss,N/A,-1.1482,0.7435,-1.8917,1.8588,2026-01-20 03:54:55,2026-01-20 06:14:53,140.0,0.5087,0.6167,0.011701,0.5019,closed
vt_realp_1768889813060_hkxn9z88h,SOL/USD,range_trade,QUANT,,LOW_VOL_CHOP,ideal,133.375000,132.308000,135.375625,132.308000,stop_loss,N/A,-0.8000,0.6350,-1.4350,1.5875,2026-01-20 04:22:54,2026-01-20 06:16:53,114.0,0.5399,0.6178,0.008650,0.5208,closed
vt_realp_1768889813060_56h2pwb08,SOL/USD,liquidity_trap,QUANT,,TRANSITION,ideal,133.190000,132.124480,135.187850,132.124480,stop_loss,N/A,-0.8000,0.6425,-1.4425,1.6063,2026-01-20 05:02:54,2026-01-20 06:16:53,74.0,0.3871,0.4124,0.008575,0.5459,closed
vt_realp_1768889813060_mg8u4q063,SOL/USD,liquidity_trap,QUANT,,TRANSITION,ideal,132.985000,131.921120,134.979775,131.921120,stop_loss,N/A,-0.8000,0.6275,-1.4275,1.5688,2026-01-20 05:11:53,2026-01-20 06:16:53,65.0,0.5225,0.5901,0.008725,0.5471,closed
vt_realp_1768889873060_i6aso1hls,APT/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,1.608400,1.588450,1.641650,1.588450,stop_loss,N/A,-1.2404,0.6699,-1.9102,1.6747,2026-01-20 03:54:55,2026-01-20 06:17:53,143.0,0.4804,0.5722,0.013974,0.5012,closed
vt_realp_1768889873060_y7k9janno,AVAX/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,12.700000,12.598400,12.890500,12.598400,stop_loss,N/A,-0.8000,0.6988,-1.4988,1.7470,2026-01-20 03:55:00,2026-01-20 06:17:53,142.9,0.4665,0.5091,0.008012,0.5163,closed
vt_realp_1768889873060_46nt95f7g,SOL/USDT,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,ideal,133.220000,132.154240,135.218300,132.154240,stop_loss,N/A,-0.8000,0.6350,-1.4350,1.5875,2026-01-20 05:04:54,2026-01-20 06:17:53,73.0,0.5070,0.5558,0.008650,0.5541,closed
vt_realp_1768889873060_lw5zaree6,SOL/EUR,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,114.070000,113.157440,115.781050,113.157440,stop_loss,N/A,-0.8000,0.6288,-1.4288,1.5719,2026-01-20 05:10:54,2026-01-20 06:17:53,67.0,0.4763,0.4233,0.008712,0.8451,closed
vt_1768882974540_8g9syh7bn,SOL/USD,range_trade,QUANT,,LOW_VOL_CHOP,ideal,133.375000,132.308000,135.375625,132.308000,stop_loss,N/A,-0.8000,132.8415,-1.7960,1.3284,2026-01-20 04:22:54,2026-01-20 06:18:52,116.0,0.5399,0.6178,0.001748,0.5208,closed
vt_1768884654234_5atqvhkbi,SOL/USDT,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,ideal,133.530000,132.461760,135.532950,132.461760,stop_loss,N/A,-0.8000,132.9959,-1.7960,1.3300,2026-01-20 04:50:54,2026-01-20 06:18:52,88.0,0.5088,0.5748,0.001358,0.4802,closed
vt_1768885374629_1lbojantc,SOL/USD,liquidity_trap,QUANT,,TRANSITION,ideal,133.190000,132.124480,135.187850,132.124480,stop_loss,N/A,-0.8000,132.6572,-1.7960,1.3266,2026-01-20 05:02:54,2026-01-20 06:18:52,76.0,0.3871,0.4124,-0.000619,0.5459,closed
vt_1768885494264_342x3qmic,SOL/USDT,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,ideal,133.220000,132.154240,135.218300,132.154240,stop_loss,N/A,-0.8000,132.6871,-1.7960,1.3269,2026-01-20 05:04:54,2026-01-20 06:18:52,74.0,0.5070,0.5558,0.001254,0.5541,closed
vt_1768885854107_c21aq1w91,SOL/EUR,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,114.070000,113.157440,115.781050,113.157440,stop_loss,N/A,-0.8000,113.6137,-1.7960,1.1361,2026-01-20 05:10:54,2026-01-20 06:18:52,68.0,0.4763,0.4233,0.000857,0.8451,closed
vt_1768885913885_zxljqm68d,SOL/USD,liquidity_trap,QUANT,,TRANSITION,ideal,132.985000,131.921120,134.979775,131.921120,stop_loss,N/A,-0.8000,132.4531,-1.7960,1.3245,2026-01-20 05:11:53,2026-01-20 06:18:52,67.0,0.5225,0.5901,0.001562,0.5471,closed
vt_1768889815948_ma9p6rt7s,SOL/USDT,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,132.550000,134.538250,134.538250,131.489600,take_profit,N/A,1.5000,133.5441,0.4925,1.3354,2026-01-20 06:16:55,2026-01-20 06:18:52,1.9,0.4854,0.4676,0.000930,0.7357,closed
vt_1768889874718_klq52hdk1,SOL/USD,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,131.760000,133.736400,133.736400,130.705920,take_profit,N/A,1.5000,132.7482,0.4925,1.3275,2026-01-20 06:17:54,2026-01-20 06:18:52,1.0,0.4700,0.4856,0.000698,0.7390,closed
vt_1768889875386_kvy12mwr2,SOL/EUR,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,112.930000,114.623950,114.623950,111.982000,take_profit,N/A,1.5000,113.7770,0.4925,1.1378,2026-01-20 06:17:55,2026-01-20 06:18:52,1.0,0.4925,0.5269,0.001099,0.7025,closed
vt_1768889876170_a5sm4ojwa,SOL/USDT,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,131.790000,133.766850,133.766850,130.735680,take_profit,N/A,1.5000,132.7784,0.4925,1.3278,2026-01-20 06:17:56,2026-01-20 06:18:52,0.9,0.4066,0.3993,-0.000177,0.7262,closed
vt_realp_1768889933060_ws5poe3k4,ASTER/USD,sma_trend_ride,QUANT,,BULL_STABLE,rotational,0.622940,0.614240,0.637440,0.614240,stop_loss,N/A,-1.3966,0.6972,-2.0939,1.7431,2026-01-20 03:54:57,2026-01-20 06:18:53,143.9,0.6943,0.8010,0.016304,0.6638,closed
vt_realp_1768889933060_dxwno7646,AVAX/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,10.880000,10.792960,11.043200,10.792960,stop_loss,N/A,-0.8000,0.8038,-1.6038,2.0096,2026-01-20 03:55:00,2026-01-20 06:18:53,143.9,0.5451,0.6368,0.006962,0.5159,closed
vt_realp_1768889933060_mzunxolme,ATOM/EUR,sma_trend_ride,QUANT,,BULL_STABLE,ideal,2.166900,2.126280,2.234600,2.126280,stop_loss,N/A,-1.8746,0.7123,-2.5869,1.7808,2026-01-20 04:54:55,2026-01-20 06:18:53,84.0,0.7214,0.8023,0.024120,0.8582,closed
vt_realp_1768889933060_3ilu1yxg8,ATOM/EUR,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,ideal,2.167400,2.126780,2.235100,2.126780,stop_loss,N/A,-1.8741,0.7167,-2.5909,1.7918,2026-01-20 05:00:54,2026-01-20 06:18:53,78.0,0.6361,0.6952,0.024068,0.8582,closed
vt_realp_1768889933060_2rkp2dint,SOL/USD,defensive_hedge,HYBRID,ENGULFING,BEAR_VOLATILE,ideal,132.440000,131.380480,134.426600,131.380480,stop_loss,N/A,-0.8000,0.6276,-1.4276,1.5689,2026-01-20 06:14:54,2026-01-20 06:18:53,4.0,0.4245,0.3630,0.008724,0.8155,closed
vt_realp_1768889993059_ofw2nap2z,ASTER/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,0.538940,0.534628,0.547024,0.534628,stop_loss,N/A,-0.8000,1.1441,-1.9441,2.8603,2026-01-20 03:54:57,2026-01-20 06:19:53,144.9,0.4410,0.4937,0.003559,0.4871,closed
vt_realp_1768889993059_89d4jodsv,B2/EUR,mean_reversion,QUANT,,BEAR_VOLATILE,rotational,0.672600,0.716300,0.716300,0.646380,take_profit,N/A,6.4972,0.7694,5.7277,1.9236,2026-01-20 03:55:02,2026-01-20 06:19:53,144.8,0.4094,0.4208,0.057277,0.6731,closed
vt_realp_1768889993059_3fcu3febm,B2/USD,mean_reversion,QUANT,,BEAR_VOLATILE,rotational,0.781200,0.833900,0.833900,0.749580,take_profit,N/A,6.7460,0.7996,5.9464,1.9990,2026-01-20 03:55:03,2026-01-20 06:19:53,144.8,0.4072,0.3912,0.059464,0.6363,closed
vt_realp_1768889993059_xq6j76k4m,ASTER/USD,liquidity_trap,QUANT,,TRANSITION,ideal,0.618390,0.612558,0.628110,0.612558,stop_loss,N/A,-0.9431,0.6799,-1.6230,1.6997,2026-01-20 04:54:56,2026-01-20 06:19:53,84.9,0.4538,0.4696,0.008919,0.5310,closed
vt_realp_1768889993059_21lcyiw0u,SOL/USDT,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,132.550000,131.489600,134.538250,131.489600,stop_loss,N/A,-0.8000,0.6351,-1.4351,1.5878,2026-01-20 06:16:55,2026-01-20 06:19:53,3.0,0.4854,0.4676,0.008649,0.7357,closed
vt_1768884895608_xbhtakrn9,ATOM/EUR,sma_trend_ride,QUANT,,BULL_STABLE,ideal,2.166900,2.126280,2.234600,2.126280,stop_loss,N/A,-1.8746,2.1466,-2.8652,0.0215,2026-01-20 04:54:55,2026-01-20 06:23:52,88.9,0.7214,0.8023,0.015416,0.8582,closed
vt_1768885254190_fgobahthe,ATOM/EUR,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,ideal,2.167400,2.126780,2.235100,2.126780,stop_loss,N/A,-1.8741,2.1471,-2.8648,0.0215,2026-01-20 05:00:54,2026-01-20 06:23:52,83.0,0.6361,0.6952,0.012701,0.8582,closed
vt_1768889995971_c105x7omi,SOL/EUR,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,112.610000,114.355000,114.355000,111.563000,take_profit,N/A,1.5496,113.4825,0.5418,1.1348,2026-01-20 06:19:55,2026-01-20 06:23:52,3.9,0.5018,0.5220,0.001398,0.6918,closed
vt_realp_1768891253064_9xxsg71h6,ATOM/USDT,morning_star,QUANT,MORNING_STAR,TRANSITION,rotational,2.499300,2.459580,2.565500,2.459580,stop_loss,N/A,-1.5892,0.7444,-2.3337,1.8610,2026-01-20 03:54:58,2026-01-20 06:40:53,165.9,0.4348,0.4977,0.019043,0.5539,closed
