ID,Symbol,Strategy,SignalType,PatternType,Regime,Pool,EntryPrice,ExitPrice,TakeProfit,StopLoss,ResultType,GrossProfit%,NetProfit%,Fees,Quantity,GrossProfitValue,NetProfitValue,FinalScore,HybridScore,ExpectedEdge,RegimeWeight,EntryTime,ExitTime,DurationMin,Status
vt_realp_1768889813060_56h2pwb08,SOL/USD,liquidity_trap,QUANT,,TRANSITION,ideal,133.190000,132.124480,135.187850,132.124480,stop_loss,-0.0000,-0.0000,1.60631053,250,-0.0080,-0.0144,0.3871,0.4124,0.008575,0.5459,2026-01-20 05:02:54,2026-01-20 06:16:53,74.0,closed
vt_realp_1768889813060_mg8u4q063,SOL/USD,liquidity_trap,QUANT,,TRANSITION,ideal,132.985000,131.921120,134.979775,131.921120,stop_loss,-0.0000,-0.0000,1.56879982,250,-0.0080,-0.0143,0.5225,0.5901,0.008725,0.5471,2026-01-20 05:11:53,2026-01-20 06:16:53,65.0,closed
vt_realp_1768889873060_i6aso1hls,APT/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,1.608400,1.588450,1.641650,1.588450,stop_loss,-0.0031,-0.0048,1.67466496,250,-0.0124,-0.0191,0.4804,0.5722,0.013974,0.5012,2026-01-20 03:54:55,2026-01-20 06:17:53,143.0,closed
vt_realp_1768889873060_y7k9janno,AVAX/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,12.700000,12.598400,12.890500,12.598400,stop_loss,-0.0003,-0.0005,1.74700552,250,-0.0080,-0.0150,0.4665,0.5091,0.008012,0.5163,2026-01-20 03:55:00,2026-01-20 06:17:53,142.9,closed
vt_realp_1768889873060_46nt95f7g,SOL/USDT,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,ideal,133.220000,132.154240,135.218300,132.154240,stop_loss,-0.0000,-0.0000,1.58751782,250,-0.0080,-0.0144,0.5070,0.5558,0.008650,0.5541,2026-01-20 05:04:54,2026-01-20 06:17:53,73.0,closed
vt_realp_1768889873060_lw5zaree6,SOL/EUR,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,114.070000,113.157440,115.781050,113.157440,stop_loss,-0.0000,-0.0001,1.57193367,250,-0.0080,-0.0143,0.4763,0.4233,0.008712,0.8451,2026-01-20 05:10:54,2026-01-20 06:17:53,67.0,closed
vt_1768882974540_8g9syh7bn,SOL/USD,range_trade,QUANT,,LOW_VOL_CHOP,ideal,133.375000,132.308000,135.375625,132.308000,stop_loss,-0.0000,-0.0001,1.32841500,250,-0.0080,-0.0180,0.5399,0.6178,0.001748,0.5208,2026-01-20 04:22:54,2026-01-20 06:18:52,116.0,closed
vt_1768884654234_5atqvhkbi,SOL/USDT,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,ideal,133.530000,132.461760,135.532950,132.461760,stop_loss,-0.0000,-0.0001,1.32995880,250,-0.0080,-0.0180,0.5088,0.5748,0.001358,0.4802,2026-01-20 04:50:54,2026-01-20 06:18:52,88.0,closed
vt_1768885374629_1lbojantc,SOL/USD,liquidity_trap,QUANT,,TRANSITION,ideal,133.190000,132.124480,135.187850,132.124480,stop_loss,-0.0000,-0.0001,1.32657240,250,-0.0080,-0.0180,0.3871,0.4124,-0.000619,0.5459,2026-01-20 05:02:54,2026-01-20 06:18:52,76.0,closed
vt_1768885494264_342x3qmic,SOL/USDT,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,ideal,133.220000,132.154240,135.218300,132.154240,stop_loss,-0.0000,-0.0001,1.32687120,250,-0.0080,-0.0180,0.5070,0.5558,0.001254,0.5541,2026-01-20 05:04:54,2026-01-20 06:18:52,74.0,closed
vt_1768885854107_c21aq1w91,SOL/EUR,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,114.070000,113.157440,115.781050,113.157440,stop_loss,-0.0000,-0.0001,1.13613720,250,-0.0080,-0.0180,0.4763,0.4233,0.000857,0.8451,2026-01-20 05:10:54,2026-01-20 06:18:52,68.0,closed
vt_1768885913885_zxljqm68d,SOL/USD,liquidity_trap,QUANT,,TRANSITION,ideal,132.985000,131.921120,134.979775,131.921120,stop_loss,-0.0000,-0.0001,1.32453060,250,-0.0080,-0.0180,0.5225,0.5901,0.001562,0.5471,2026-01-20 05:11:53,2026-01-20 06:18:52,67.0,closed
vt_1768889815948_ma9p6rt7s,SOL/USDT,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,132.550000,134.538250,134.538250,131.489600,take_profit,0.0000,0.0000,1.33544125,250,0.0150,0.0049,0.4854,0.4676,0.000930,0.7357,2026-01-20 06:16:55,2026-01-20 06:18:52,1.9,closed
vt_1768889874718_klq52hdk1,SOL/USD,mean_reversion,QUANT,,BEAR_VOLATILE,ideal,131.760000,133.736400,133.736400,130.705920,take_profit,0.0000,0.0000,1.32748200,250,0.0150,0.0049,0.4700,0.4856,0.000698,0.7390,2026-01-20 06:17:54,2026-01-20 06:18:52,1.0,closed
