hour_utc,n,median,p90
2026-09-04 00:00:00+00:00,44972,31.541218637993484,523.5602094240837
2026-09-04 01:00:00+00:00,41499,26.41784322793334,122.20589372728071
2026-09-04 02:00:00+00:00,38408,22.99612265869068,109.91636798088432
2026-09-04 03:00:00+00:00,34171,21.651716671821926,90.47124097849405
2026-09-04 04:00:00+00:00,32112,21.196647075825165,99.12223084731744
2026-09-04 05:00:00+00:00,36214,20.481310803891013,104.16210775088607
2026-09-04 06:00:00+00:00,37729,21.77862806675642,103.85756676558
2026-09-04 07:00:00+00:00,50619,28.350921404946735,154.4198206727527
2026-09-04 08:00:00+00:00,54567,42.54950471221395,435.5976686321951
2026-09-04 09:00:00+00:00,38065,31.897926634769476,423.86748096202234
2026-09-04 10:00:00+00:00,37027,27.50449592721991,348.21763602251303
2026-09-04 11:00:00+00:00,50278,26.350461133069267,196.02019602019672
2026-09-04 12:00:00+00:00,64624,29.166226563729566,186.74291826016173
2026-09-04 13:00:00+00:00,134432,23.990403838464108,103.89195236953569
2026-09-04 14:00:00+00:00,335130,10.020040080160106,33.613445378150544
2026-09-04 15:00:00+00:00,331907,7.004121656205138,22.672813690407466
2026-09-04 16:00:00+00:00,320150,5.930526577017961,18.905277426029695
2026-09-04 17:00:00+00:00,316205,5.505092210295383,17.615971814444094
2026-09-04 18:00:00+00:00,318393,4.929751047571116,15.585363022898125
2026-09-04 19:00:00+00:00,330775,4.543733434305359,14.471442242606832
2026-09-04 20:00:00+00:00,135971,5.598581692638077,95.49512144488318
2026-09-04 21:00:00+00:00,40355,24.164317358034406,524.0941196138251
2026-09-04 22:00:00+00:00,32994,21.097046413501662,545.02539160289
2026-09-04 23:00:00+00:00,30624,18.93363867509251,494.4125440357013
