population,asset_class,symbol,horizon_min,valid_origins,potential_row_offset_origins,origins_rejected_for_gaps,signed_endpoint_bps_p10,signed_endpoint_bps_p50,signed_endpoint_bps_p90,signed_endpoint_bps_p99,absolute_endpoint_bps_p10,absolute_endpoint_bps_p50,absolute_endpoint_bps_p90,absolute_endpoint_bps_p99,future_up_excursion_bps_p10,future_up_excursion_bps_p50,future_up_excursion_bps_p90,future_up_excursion_bps_p99,future_down_excursion_bps_p10,future_down_excursion_bps_p50,future_down_excursion_bps_p90,future_down_excursion_bps_p99
xstock_spot; NCLH/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,NCLH/USD,15,1385,1882,497,-44.69708801424055,-3.2351989647372292,35.77937175113767,89.79726541353183,3.205539250746181,19.44894651539686,58.44535950891361,110.4156691449994,0.0,15.959144589849927,50.505050505049724,99.64405335190796,0.0,19.41747572815511,57.46760731202083,114.1500678683044
xstock_spot; NCLH/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,NCLH/USD,60,1021,1837,816,-115.71841851494624,-22.41434518091556,67.8952473326877,150.14067707619947,9.50570342205248,48.44961240310197,125.56342562781597,183.70708517297163,3.1897926634760765,31.446540880502027,93.76010345942376,175.124798724087,9.618467457518376,50.95541401273884,125.72533849129597,198.80951736556514
xstock_spot; NCLH/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,xstock_spot,NCLH/USD,240,311,1657,1346,-250.63451776649703,-154.23355366698144,-47.70992366412319,12.1326186571565,47.70992366412319,154.23355366698144,250.63451776649703,301.66576054391527,6.289308176099517,41.217501585288915,111.74968071519854,198.5906470211396,111.78537208559547,208.72865275142317,273.10257224515743,321.6729899763467
xstock_spot; NDAQ/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,NDAQ/USD,5,606,1257,651,-20.44885236160698,1.0177089751084445,18.72908345872282,55.98676192901849,1.5480275559209833,9.227457028620488,27.86763532768188,75.32929705667325,-1.5730284921267046,6.81699003670877,22.137802114291503,61.970202818447945,-2.0421797755865168,5.768373584814079,23.114099855900406,81.47419789040386
xstock_spot; NDAQ/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,NDAQ/USD,15,325,1247,922,-31.06832928177572,2.097425410307885,34.42579523586533,93.20867903848048,3.153863034168314,14.65354825204157,50.02160298806203,93.20867903848048,1.048921711253481,14.24356496082968,39.75264277363744,98.76867201204982,-0.5255309967675537,9.958071278826086,38.723430246845346,66.9893355209181
xstock_spot; NDAQ/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,NDAQ/USD,60,131,1202,1071,14.702793530771974,32.59383871306865,54.80029507851203,62.22617685653686,14.702793530771974,32.59383871306865,54.80029507851203,62.22617685653686,24.179983179140052,40.50499736980573,68.04515244223985,81.87196281428388,-1.0528532322595652,10.49758555532354,49.411269974768416,66.90265057443675
xstock_spot; NDAQ/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,xstock_spot,NDAQ/USD,240,0,1022,1022,,,,,,,,,,,,,,,,
xstock_spot; NEE/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,NEE/USD,5,1522,1731,209,-11.92833481023503,0.0,12.0974594063481,31.4536980773037,1.1951643961063407,5.976929587646618,16.360761273717994,35.52437611861971,0.0,4.8555477491663,16.347994331308296,36.38129089976005,0.0,4.845548152633272,16.422459067244155,35.45070761655361
xstock_spot; NEE/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,NEE/USD,15,1451,1721,270,-16.87763713080215,0.5962673662862628,19.375151368370425,45.586743560823706,1.808863430811103,9.522675871920239,24.49077116062348,51.96067250942071,1.1950286806872157,9.534024550112985,27.45449119665677,60.128324200474644,1.2116806009943026,9.60153624579907,26.212319790303027,53.86102377705704
xstock_spot; NEE/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,NEE/USD,60,1136,1676,540,-24.246852803481154,1.1990767120106938,38.23921342766879,62.12618459612574,2.98187536201977,16.32554463761926,39.46740324716036,62.12618459612574,2.9723871200237895,18.785601745243685,55.86252980703033,80.70541146339288,3.5844435279369646,18.330461537180987,37.446398523584556,64.00193213380034
